WARNING 2025-07-09 05:01:36,187 basehttp 8627 6295711744 "GET /api/dashboard/main HTTP/1.1" 404 7685
WARNING 2025-07-09 05:01:38,184 log 8627 6295711744 Not Found: /api/dashboard/main
WARNING 2025-07-09 05:01:38,185 basehttp 8627 6295711744 "GET /api/dashboard/main HTTP/1.1" 404 7685
WARNING 2025-07-09 05:01:38,204 log 8627 6295711744 Not Found: /api/dashboard/commission
WARNING 2025-07-09 05:01:38,205 basehttp 8627 6295711744 "GET /api/dashboard/commission HTTP/1.1" 404 7703
WARNING 2025-07-09 05:01:38,260 log 8627 6295711744 Not Found: /api/dashboard/commission
WARNING 2025-07-09 05:01:38,260 basehttp 8627 6295711744 "GET /api/dashboard/commission HTTP/1.1" 404 7703
WARNING 2025-07-09 05:01:38,302 log 8627 6295711744 Not Found: /api/dashboard/main
WARNING 2025-07-09 05:01:38,302 basehttp 8627 6295711744 "GET /api/dashboard/main HTTP/1.1" 404 7685
WARNING 2025-07-09 05:01:52,626 log 8627 6295711744 Not Found: /api/dashboard/main
WARNING 2025-07-09 05:01:52,629 log 8627 6312538112 Not Found: /api/dashboard/commission
WARNING 2025-07-09 05:01:52,630 basehttp 8627 6295711744 "GET /api/dashboard/main HTTP/1.1" 404 7685
WARNING 2025-07-09 05:01:52,630 basehttp 8627 6312538112 "GET /api/dashboard/commission HTTP/1.1" 404 7703
WARNING 2025-07-09 05:01:52,636 log 8627 6295711744 Not Found: /api/dashboard/commission
WARNING 2025-07-09 05:01:52,638 log 8627 6312538112 Not Found: /api/dashboard/main
WARNING 2025-07-09 05:01:52,638 basehttp 8627 6295711744 "GET /api/dashboard/commission HTTP/1.1" 404 7703
WARNING 2025-07-09 05:01:52,638 basehttp 8627 6312538112 "GET /api/dashboard/main HTTP/1.1" 404 7685
INFO 2025-07-09 05:01:52,662 basehttp 8627 6278885376 "GET /api/v1/organizations/ HTTP/1.1" 200 52
INFO 2025-07-09 05:01:52,662 basehttp 8627 6211579904 "GET /api/v1/auth/users/?role_name=Org+Admin HTTP/1.1" 200 52
